,Temperatures,Chain_indices,Potential_energy
0,50.0,0,6427.632995674435
1,50.0,1,6427.289953871469
2,50.0,2,6427.064232162502
3,50.0,3,6426.953094725168
4,50.0,4,6424.418488673863
5,50.0,5,6423.179101950586
6,50.0,6,6422.93696148201
7,50.0,7,6422.63157942699
8,50.0,8,6422.53419559437
9,50.0,9,6422.529467291558
10,50.0,10,6419.617970244745
11,50.0,11,6419.507758447985
12,50.0,12,6419.36544886144
13,50.0,13,6419.317764982024
14,50.0,14,6419.21698521688
15,50.0,15,6416.875287692073
16,50.0,16,6416.718083734228
17,50.0,17,6416.688055288916
18,50.0,18,6416.603086642668
19,50.0,19,6416.591324486958
20,50.0,20,6416.548090567565
21,50.0,21,6415.9680509596
22,50.0,22,6390.559370988762
23,50.0,23,6389.476198971222
24,50.0,24,6389.438654376003
25,50.0,25,6389.155395422308
26,50.0,26,6388.891735860925
27,50.0,27,6388.062058526494
28,50.0,28,6387.853689754354
29,50.0,29,6387.609051224914
30,50.0,30,6387.497104853272
31,50.0,31,6385.581398729982
32,50.0,32,6385.551318117192
33,50.0,33,6384.487129713746
34,50.0,34,6384.283872739466
35,50.0,35,6384.24231294323
36,50.0,36,6384.145748756791
37,50.0,37,6382.599268488373
38,50.0,38,6382.388342700012
39,50.0,39,6382.3456801803795
40,50.0,40,6378.425301924767
41,50.0,41,6377.863716169298
42,50.0,42,6377.225746337354
43,50.0,43,6375.999942725102
44,50.0,44,6375.5008886702335
45,50.0,45,6374.783565688539
46,50.0,46,6374.74730000831
47,50.0,47,6374.224983722802
48,50.0,48,6372.933923122205
49,50.0,49,6372.815452459307
50,50.0,50,6372.81468055688
51,50.0,51,6369.4191645340225
52,50.0,52,6368.6337917667925
53,50.0,53,6368.102940178426
54,50.0,54,6367.2804308678415
55,50.0,55,6367.189407622306
56,50.0,56,6366.504382128262
57,50.0,57,6366.14661813587
58,50.0,58,6365.7666862555625
59,50.0,59,6365.391484856889
60,50.0,60,6365.012046582889
61,50.0,61,6364.8214197225925
62,50.0,62,6364.659717256133
63,50.0,63,6364.566346685254
64,50.0,64,6363.08457803341
65,50.0,65,6363.069775409533
66,50.0,66,6362.878519138716
67,50.0,67,6361.658026983512
68,50.0,68,6361.260011249706
69,50.0,69,6361.025680732889
70,50.0,70,6358.792610933639
71,50.0,71,6358.632667723589
72,50.0,72,6358.5730135014055
73,50.0,73,6358.317494315687
74,50.0,74,6358.240259925461
75,50.0,75,6335.082561782238
76,50.0,76,6334.87191932512
77,50.0,77,6334.558929991926
78,50.0,78,6334.441927987006
79,50.0,79,6330.797933052974
80,50.0,80,6327.78971379271
81,50.0,81,6327.174233178813
82,50.0,82,6327.019457629207
83,50.0,83,6326.483963892655
84,50.0,84,6325.338334870281
85,50.0,85,6325.0227808687105
86,50.0,86,6324.665949604806
87,50.0,87,6324.645016610533
88,50.0,88,6324.212253994145
89,50.0,89,6323.991445809734
90,50.0,90,6323.985578193874
91,50.0,91,6323.649015474819
92,50.0,92,6323.440621096847
93,50.0,93,6323.330516185869
94,50.0,94,6322.147537017972
95,50.0,95,6321.2071806505755
96,50.0,96,6321.064201762509
97,50.0,97,6320.768754806783
98,50.0,98,6320.672759928159
99,50.0,99,6320.66523507278
100,50.0,0,6318.291046249377
101,50.0,1,6318.181012300853
102,50.0,2,6318.089374735988
103,50.0,3,6318.047759099205
104,50.0,4,6317.948926421739
105,50.0,5,6316.557647540425
106,50.0,6,6316.40712099571
107,50.0,7,6316.378288446411
108,50.0,8,6316.304828363072
109,50.0,9,6316.293304965629
110,50.0,10,6316.253910886832
111,50.0,11,6315.789090008125
112,50.0,12,6313.369337565116
113,50.0,13,6312.344400981118
114,50.0,14,6312.307056945605
115,50.0,15,6312.09346724973
116,50.0,16,6311.8463525240595
117,50.0,17,6311.38908764596
118,50.0,18,6311.181933163811
119,50.0,19,6310.950179006447
120,50.0,20,6310.8503067520605
121,50.0,21,6309.266522790519
122,50.0,22,6309.236732601618
123,50.0,23,6308.276314679029
124,50.0,24,6308.082824656249
125,50.0,25,6308.0472725975405
126,50.0,26,6307.951023875805
127,50.0,27,6307.080538940579
128,50.0,28,6306.908890627078
129,50.0,29,6306.865696324093
130,50.0,30,6305.714601431917
131,50.0,31,6305.21067496328
132,50.0,32,6304.598363174396
133,50.0,33,6303.589511265361
134,50.0,34,6303.243887086257
135,50.0,35,6302.601450122833
136,50.0,36,6302.566032608414
137,50.0,37,6302.075832012018
138,50.0,38,6301.188134868696
139,50.0,39,6301.101945215074
140,50.0,40,6301.101257709355
141,50.0,41,6299.294917568204
142,50.0,42,6298.603864774869
143,50.0,43,6298.175602296064
144,50.0,44,6297.560165313567
145,50.0,45,6297.469315467993
146,50.0,46,6294.2833962233735
147,50.0,47,6293.981922564611
148,50.0,48,6293.692721361118
149,50.0,49,6293.300334282927
150,50.0,50,6292.936568150687
151,50.0,51,6292.794770987819
152,50.0,52,6292.634852555635
153,50.0,53,6292.54505688847
154,50.0,54,6291.929582625643
155,50.0,55,6291.915551862364
156,50.0,56,6291.727069105518
157,50.0,57,6290.6450976433025
158,50.0,58,6290.303641433254
159,50.0,59,6290.094540565851
160,50.0,60,6289.404500855859
161,50.0,61,6289.247884769908
162,50.0,62,6289.188978532655
163,50.0,63,6288.9362526755685
164,50.0,64,6288.870017683106
165,50.0,65,6286.953405894777
166,50.0,66,6286.746871821554
167,50.0,67,6286.667293314336
168,50.0,68,6286.531210209372
169,50.0,69,6284.309560959037
170,50.0,70,6282.231467195607
171,50.0,71,6281.760542935099
172,50.0,72,6281.675534841288
173,50.0,73,6281.2057011790275
174,50.0,74,6280.416311612491
175,50.0,75,6280.199697128896
176,50.0,76,6279.889923405829
177,50.0,77,6279.870638630021
178,50.0,78,6279.499741009305
179,50.0,79,6279.281514383371
180,50.0,80,6279.2758676219855
181,50.0,81,6278.945575148727
182,50.0,82,6278.752254230173
183,50.0,83,6278.647393494567
184,50.0,84,6277.9084667103825
185,50.0,85,6277.1584264459025
186,50.0,86,6277.065286748682
187,50.0,87,6276.779174399375
188,50.0,88,6276.684330356262
189,50.0,89,6276.669873883359
190,50.0,90,6274.652505231614
191,50.0,91,6274.542777574232
192,50.0,92,6274.48071316599
193,50.0,93,6274.444315427039
194,50.0,94,6274.347434120295
195,50.0,95,6273.348649906143
196,50.0,96,6273.204173058781
197,50.0,97,6273.176280104004
198,50.0,98,6273.11122068553
199,50.0,99,6273.099855625607
200,50.0,0,6273.064079654885
201,50.0,1,6272.667350902384
202,50.0,2,6271.103754405238
203,50.0,3,6270.127721427239
204,50.0,4,6270.07359503615
205,50.0,5,6269.903973036205
206,50.0,6,6269.6703683822925
207,50.0,7,6269.377863698056
208,50.0,8,6269.1721752204285
209,50.0,9,6268.952137882862
210,50.0,10,6268.862322947965
211,50.0,11,6267.506012293689
212,50.0,12,6267.476988004092
213,50.0,13,6266.601306709605
214,50.0,14,6266.415022834916
215,50.0,15,6266.385414723934
216,50.0,16,6266.289588560544
217,50.0,17,6265.694894186191
218,50.0,18,6265.551623086174
219,50.0,19,6265.510353947021
220,50.0,20,6264.843164753051
221,50.0,21,6264.378505315972
222,50.0,22,6263.789892166318
223,50.0,23,6262.920698880036
224,50.0,24,6262.661664827514
225,50.0,25,6262.0848829438455
226,50.0,26,6262.050441048127
227,50.0,27,6261.590819089688
228,50.0,28,6260.927826844019
229,50.0,29,6260.864378875771
230,50.0,30,6260.863787885602
231,50.0,31,6259.604306785239
232,50.0,32,6258.986338878522
233,50.0,33,6258.628407000836
234,50.0,34,6258.139696611361
235,50.0,35,6258.048993421986
236,50.0,36,6252.774063287616
237,50.0,37,6252.504518065145
238,50.0,38,6252.270376888135
239,50.0,39,6251.866466995968
240,50.0,40,6251.516667026673
241,50.0,41,6251.406874477816
242,50.0,42,6251.25107306478
243,50.0,43,6251.165301688289
244,50.0,44,6250.807883649671
245,50.0,45,6250.794326351325
246,50.0,46,6250.608590153203
247,50.0,47,6249.630648225648
248,50.0,48,6249.334059587358
249,50.0,49,6249.1455018089055
250,50.0,50,6249.830361045827
251,50.0,51,6249.677375039264
252,50.0,52,6249.619163148969
253,50.0,53,6249.369153881019
254,50.0,54,6249.311232945822
255,50.0,55,6247.970168404193
256,50.0,56,6247.768016602119
257,50.0,57,6247.6890277083385
258,50.0,58,6247.541468030736
259,50.0,59,6245.837494177407
260,50.0,60,6244.218705373575
261,50.0,61,6243.846318106995
262,50.0,62,6243.792799821516
263,50.0,63,6243.373409704559
264,50.0,64,6242.771867035642
265,50.0,65,6242.615157023358
266,50.0,66,6242.341325159069
267,50.0,67,6242.320324806919
268,50.0,68,6241.992061940062
269,50.0,69,6241.776331254378
270,50.0,70,6241.770889458249
271,50.0,71,6241.446641938981
272,50.0,72,6241.265175220465
273,50.0,73,6241.1681214221135
274,50.0,74,6240.645940778674
275,50.0,75,6240.014386537804
276,50.0,76,6239.948532442474
277,50.0,77,6239.671100954755
278,50.0,78,6239.577398590145
279,50.0,79,6239.554752966395
280,50.0,80,6237.7932012775545
281,50.0,81,6237.683810379212
282,50.0,82,6237.639618633906
