,Temperatures,Chain_indices,Potential_energy
0,50.0,0,6549.6849612690585
1,50.0,1,6549.6849612690585
2,50.0,2,6522.424274810215
3,50.0,3,6522.424274810215
4,50.0,4,6522.424274810215
5,50.0,5,6522.424274810215
6,50.0,6,6522.424274810215
7,50.0,7,6508.491580984803
8,50.0,8,6465.968102915629
9,50.0,9,6511.015697502049
10,50.0,10,6430.30230582854
11,50.0,11,6364.203527720856
12,50.0,12,6377.0244104086905
13,50.0,13,6377.0244104086905
14,50.0,14,6377.0244104086905
15,50.0,15,6376.684361075628
16,50.0,16,6403.50802399147
17,50.0,17,6403.50802399147
18,50.0,18,6408.952647692551
19,50.0,19,6408.952647692551
20,50.0,20,6408.952647692551
21,50.0,21,6408.952647692551
22,50.0,22,6408.952647692551
23,50.0,23,6426.176285892647
24,50.0,24,6426.176285892647
25,50.0,25,6426.176285892647
26,50.0,26,6426.176285892647
27,50.0,27,6388.698003252603
28,50.0,28,6352.672021206172
29,50.0,29,6352.672021206172
30,50.0,30,6341.798116385147
31,50.0,31,6321.498193082845
32,50.0,32,6360.702373560911
33,50.0,33,6362.8109995837585
34,50.0,34,6352.439279214543
35,50.0,35,6352.439279214543
36,50.0,36,6314.15824479792
37,50.0,37,6343.427510955602
38,50.0,38,6329.575086535962
39,50.0,39,6329.575086535962
40,50.0,40,6329.575086535962
41,50.0,41,6329.575086535962
42,50.0,42,6329.575086535962
43,50.0,43,6329.575086535962
44,50.0,44,6329.575086535962
45,50.0,45,6306.753244075519
46,50.0,46,6285.787012282841
47,50.0,47,6285.787012282841
48,50.0,48,6224.321773150818
49,50.0,49,6228.340594812598
50,50.0,50,6228.551529762995
51,50.0,51,6228.551529762995
52,50.0,52,6240.758487801603
53,50.0,53,6240.758487801603
54,50.0,54,6240.758487801603
55,50.0,55,6244.239416401299
56,50.0,56,6244.239416401299
57,50.0,57,6244.239416401299
58,50.0,58,6244.239416401299
59,50.0,59,6244.239416401299
60,50.0,60,6244.239416401299
61,50.0,61,6246.092348486205
62,50.0,62,6246.092348486205
63,50.0,63,6248.982783635775
64,50.0,64,6221.280044175798
65,50.0,65,6221.280044175798
66,50.0,66,6221.280044175798
67,50.0,67,6218.650860394441
68,50.0,68,6209.591066111575
69,50.0,69,6209.591066111575
70,50.0,70,6209.591066111575
71,50.0,71,6226.34455816978
72,50.0,72,6226.34455816978
73,50.0,73,6226.34455816978
74,50.0,74,6281.403233679022
75,50.0,75,6281.403233679022
76,50.0,76,6281.403233679022
77,50.0,77,6220.101325781269
78,50.0,78,6220.101325781269
79,50.0,79,6220.101325781269
80,50.0,80,6220.101325781269
81,50.0,81,6220.101325781269
82,50.0,82,6189.7714866443375
83,50.0,83,6160.791228217715
84,50.0,84,6160.791228217715
85,50.0,85,6151.3734544542485
86,50.0,86,6151.3734544542485
87,50.0,87,6154.252194531661
