,Temperatures,Chain_indices,Potential_energy
0,50.0,0,97.26474567776069
1,50.0,1,98.87931385275562
2,50.0,2,98.84381072100143
3,50.0,3,87.15689427097001
4,50.0,4,87.15689427097001
5,50.0,5,87.15689427097001
6,50.0,6,87.1538872588177
7,50.0,7,86.97087434203227
8,50.0,8,86.93990038741875
9,50.0,9,86.9348658734489
10,50.0,0,86.88954511151927
11,50.0,1,84.26499348824738
12,50.0,2,84.26499348824738
13,50.0,3,84.49605255709825
14,50.0,4,84.49605255709825
15,50.0,5,84.49605255709825
16,50.0,6,84.46676597551993
17,50.0,7,84.44784118564317
18,50.0,8,84.44775642981976
19,50.0,9,84.3296017716831
20,50.0,0,84.29538469696769
21,50.0,1,84.29538469696769
22,50.0,2,84.29538469696769
23,50.0,3,88.90468447408557
24,50.0,4,91.71754676924678
25,50.0,5,91.89641951285604
26,50.0,6,91.7428689054417
27,50.0,7,91.73587691878996
28,50.0,8,91.70827163834963
29,50.0,9,91.69150311619126
30,50.0,0,91.69131479499165
31,50.0,1,91.6751340272866
32,50.0,2,91.6751340272866
33,50.0,3,92.18447502086634
34,50.0,4,98.26522924701872
35,50.0,5,98.26522924701872
36,50.0,6,98.24641860263444
37,50.0,7,98.0619438299091
38,50.0,8,97.96372674176513
39,50.0,9,97.9558304418689
40,50.0,0,97.94018838342768
41,50.0,1,97.94018838342768
42,50.0,2,101.40390652471831
43,50.0,3,102.11168824527401
44,50.0,4,102.11168824527401
45,50.0,5,104.31975238302937
46,50.0,6,104.28398514526413
47,50.0,7,104.02616046877564
48,50.0,8,103.96015808329534
49,50.0,9,103.75539766850555
50,50.0,0,103.67169625403666
51,50.0,1,103.67169625403666
52,50.0,2,103.67169625403666
53,50.0,3,103.67169625403666
54,50.0,4,106.82279329634927
55,50.0,5,106.35529715464976
56,50.0,6,106.22203875466413
57,50.0,7,106.21959302115569
58,50.0,8,106.20798368657465
59,50.0,9,106.0001925106481
60,50.0,0,105.92931697678388
61,50.0,1,105.92931697678388
62,50.0,2,106.51662409724857
63,50.0,3,108.08003564087748
64,50.0,4,108.08003564087748
65,50.0,5,108.08003564087748
66,50.0,6,107.85646423278043
67,50.0,7,107.67631131550421
68,50.0,8,107.60270704916634
69,50.0,9,107.57860693271927
70,50.0,0,107.564660576497
71,50.0,1,114.38570803983374
72,50.0,2,100.99246837423676
73,50.0,3,100.99246837423676
74,50.0,4,101.40167145831984
75,50.0,5,113.62020290878147
76,50.0,6,113.60892608829765
77,50.0,7,113.60237747178601
78,50.0,8,112.7384083932706
79,50.0,9,112.59815884152404
80,50.0,0,112.56234627626034
81,50.0,1,112.99260316070418
82,50.0,2,112.99260316070418
83,50.0,3,107.03128033515038
84,50.0,4,107.03128033515038
85,50.0,5,104.47617662207213
86,50.0,6,104.44834565256295
87,50.0,7,103.56248451067881
88,50.0,8,103.55003724283218
89,50.0,9,103.53499910020439
90,50.0,0,103.15645672372382
91,50.0,1,98.98153982972475
92,50.0,2,98.98153982972475
93,50.0,3,98.31897707808204
94,50.0,4,98.31897707808204
95,50.0,5,98.31897707808204
96,50.0,6,98.29544349033051
97,50.0,7,98.26612875576828
98,50.0,8,98.24130127965708
99,50.0,9,97.75665281056773
100,50.0,0,97.73841861494051
101,50.0,1,97.73841861494051
102,50.0,2,95.82333191138007
103,50.0,3,95.82333191138007
104,50.0,4,95.82333191138007
105,50.0,5,100.97942072556611
106,50.0,6,100.96196162298426
107,50.0,7,100.96007522978475
108,50.0,8,100.91985275354749
109,50.0,9,100.88087676103235
110,50.0,0,100.86897890548151
111,50.0,1,97.8979660543347
112,50.0,2,106.86278942687362
113,50.0,3,109.97296767730096
114,50.0,4,109.97296767730096
115,50.0,5,109.97296767730096
116,50.0,6,109.51967761715146
117,50.0,7,109.50313520290597
118,50.0,8,109.4728939121863
119,50.0,9,109.4608716699454
120,37.040911034085894,0,109.4171608004822
121,37.040911034085894,1,112.9156315261523
122,37.040911034085894,2,115.77263293820953
123,37.040911034085894,3,123.45412935943418
124,37.040911034085894,4,114.65680803874454
125,37.040911034085894,5,114.65680803874454
126,37.040911034085894,6,114.61928857719302
127,37.040911034085894,7,114.45838224228
128,37.040911034085894,8,114.07509038425533
129,37.040911034085894,9,114.07130014924041
130,37.040911034085894,0,113.74682148731614
131,37.040911034085894,1,117.65193843979519
132,37.040911034085894,2,124.96201877446146
133,37.040911034085894,3,115.09651584075287
134,37.040911034085894,4,103.46482269284118
135,37.040911034085894,5,105.64214052739145
136,37.040911034085894,6,105.6383543307332
