,Temperatures,Chain_indices,Potential_energy
0,50.0,0,87.54129493499131
1,50.0,1,88.80847044583138
2,50.0,2,88.80847044583138
3,50.0,3,91.63972443828894
4,50.0,4,91.63972443828894
5,50.0,5,91.63972443828894
6,50.0,6,83.45882288866389
7,50.0,7,83.45882288866389
8,50.0,8,88.17125766566816
9,50.0,9,88.17125766566816
10,50.0,0,91.1115137380343
11,50.0,1,104.16935619230566
12,50.0,2,103.96877622743607
13,50.0,3,103.96877622743607
14,50.0,4,103.96877622743607
15,50.0,5,95.29331334356117
16,50.0,6,95.29331334356117
17,50.0,7,96.92451634196904
18,50.0,8,96.92451634196904
19,50.0,9,96.92451634196904
20,50.0,0,94.71656594794904
21,50.0,1,100.12894268319806
22,50.0,2,100.12894268319806
23,50.0,3,100.12894268319806
24,50.0,4,101.03263362718972
25,50.0,5,101.03263362718972
26,50.0,6,101.03263362718972
27,50.0,7,101.03909952309807
28,50.0,8,101.03909952309807
29,50.0,9,100.20861817555975
30,50.0,0,100.20861817555975
31,50.0,1,90.77160652401358
32,50.0,2,104.79420927387858
33,50.0,3,104.35370208596244
34,50.0,4,104.35370208596244
35,50.0,5,109.20059992131202
36,50.0,6,109.30402894647449
37,50.0,7,114.04464553735141
38,50.0,8,114.04464553735141
39,50.0,9,118.01682829541109
40,50.0,0,118.01682829541109
41,50.0,1,109.55591019850742
42,50.0,2,109.55591019850742
43,50.0,3,109.55591019850742
44,50.0,4,109.55591019850742
45,50.0,5,109.55591019850742
46,50.0,6,109.55591019850742
47,50.0,7,98.67509491869905
48,50.0,8,98.2958345416563
49,50.0,9,98.2958345416563
50,50.0,0,120.01596656200783
51,50.0,1,115.4183965964216
52,50.0,2,115.4183965964216
53,50.0,3,115.4183965964216
54,50.0,4,115.4183965964216
55,50.0,5,106.56663495218444
56,50.0,6,106.56663495218444
57,50.0,7,116.52640723055876
58,50.0,8,116.2198836859346
59,50.0,9,116.2198836859346
60,50.0,0,120.30497047432691
61,50.0,1,116.79631218901123
62,50.0,2,116.79631218901123
63,50.0,3,116.79631218901123
64,50.0,4,116.79631218901123
65,50.0,5,120.85180834329167
66,50.0,6,120.85180834329167
67,50.0,7,117.4353739604034
68,50.0,8,115.12515902281997
69,50.0,9,111.27186725337283
70,50.0,0,111.27186725337283
71,50.0,1,105.47918584844169
72,50.0,2,104.66165409474453
73,50.0,3,104.66165409474453
74,50.0,4,103.73173163595501
75,50.0,5,103.73173163595501
76,50.0,6,104.47299534622732
77,50.0,7,104.47299534622732
78,50.0,8,104.47299534622732
79,50.0,9,103.4807407571113
80,50.0,0,103.4807407571113
81,50.0,1,103.4807407571113
82,50.0,2,103.8097865493065
83,50.0,3,104.10044952415535
84,50.0,4,104.10044952415535
85,50.0,5,97.61708630371052
86,50.0,6,96.03159550701452
87,50.0,7,91.95563519087425
88,50.0,8,91.95563519087425
89,50.0,9,89.11296648701517
90,50.0,0,89.11296648701517
91,50.0,1,85.60755683073124
92,50.0,2,86.23207048160344
93,50.0,3,88.79274950602615
94,50.0,4,91.59222641481753
95,50.0,5,91.59222641481753
96,50.0,6,91.59222641481753
97,50.0,7,94.03914551828929
98,50.0,8,94.03914551828929
99,50.0,9,88.58416296552933
100,50.0,0,88.58416296552933
101,50.0,1,87.49811895746676
102,50.0,2,87.49811895746676
103,50.0,3,87.12520395386117
104,50.0,4,85.72042698086769
105,50.0,5,83.73951322910006
106,50.0,6,89.22120262992192
107,50.0,7,89.22120262992192
108,50.0,8,91.13641188776411
109,50.0,9,93.46031526598306
110,50.0,0,92.97490006073251
111,50.0,1,92.97490006073251
112,50.0,2,92.04764294980423
113,50.0,3,92.04764294980423
114,50.0,4,92.04764294980423
115,50.0,5,92.04764294980423
116,50.0,6,92.04764294980423
117,50.0,7,92.04764294980423
118,50.0,8,85.74779458467117
119,50.0,9,85.91991889619142
120,37.040911034085894,0,84.45520047486599
121,37.040911034085894,1,84.45520047486599
122,37.040911034085894,2,84.45520047486599
123,37.040911034085894,3,84.45520047486599
124,37.040911034085894,4,84.45520047486599
125,37.040911034085894,5,84.68364556452009
126,37.040911034085894,6,93.69238196811273
127,37.040911034085894,7,89.23377479530097
128,37.040911034085894,8,85.70747526070201
129,37.040911034085894,9,85.70747526070201
130,37.040911034085894,0,85.70747526070201
131,37.040911034085894,1,85.50060065242741
132,37.040911034085894,2,90.44049863923578
133,37.040911034085894,3,90.15697537294457
134,37.040911034085894,4,91.7927863553336
135,37.040911034085894,5,91.7927863553336
136,37.040911034085894,6,91.7927863553336
137,37.040911034085894,7,95.03346601720084
138,37.040911034085894,8,95.03346601720084
139,37.040911034085894,9,100.14101673823033
140,37.040911034085894,0,100.14101673823033
141,37.040911034085894,1,100.14101673823033
142,37.040911034085894,2,100.14101673823033
143,37.040911034085894,3,97.4831268494752
