,Temperatures,Chain_indices,Potential_energy
0,50.0,0,93.19011470696951
1,50.0,1,93.19011470696951
2,50.0,2,90.49809959440488
3,50.0,3,90.49809959440488
4,50.0,4,99.45942706499252
5,50.0,5,92.91935374904315
6,50.0,6,88.43227485811244
7,50.0,7,88.43227485811244
8,50.0,8,99.68926682126289
9,50.0,9,99.68926682126289
10,50.0,0,99.68926682126289
11,50.0,1,99.68926682126289
12,50.0,2,97.79583374230099
13,50.0,3,97.79583374230099
14,50.0,4,97.79583374230099
15,50.0,5,97.79583374230099
16,50.0,6,103.85233118771568
17,50.0,7,105.07746471391849
18,50.0,8,92.23895113990204
19,50.0,9,98.4082523331382
20,50.0,0,91.91185851446537
21,50.0,1,91.91185851446537
22,50.0,2,91.91185851446537
23,50.0,3,87.66980176507285
24,50.0,4,86.60088590223343
25,50.0,5,82.87361152341084
26,50.0,6,82.87361152341084
27,50.0,7,85.44321597256169
28,50.0,8,86.08335131871726
29,50.0,9,87.79218023590664
30,50.0,0,87.79218023590664
31,50.0,1,93.39156612890118
32,50.0,2,92.41546597958725
33,50.0,3,96.0496322783766
34,50.0,4,96.0496322783766
35,50.0,5,96.0496322783766
36,50.0,6,91.41415013852873
37,50.0,7,96.26345077083194
38,50.0,8,96.26345077083194
39,50.0,9,91.98655870272364
40,50.0,0,85.46489438623267
41,50.0,1,100.0862517520051
42,50.0,2,100.0862517520051
43,50.0,3,100.0862517520051
44,50.0,4,100.0862517520051
45,50.0,5,106.6573251667436
46,50.0,6,108.61381953472227
47,50.0,7,114.8876754134802
48,50.0,8,116.6873964335308
49,50.0,9,118.7845008390144
50,50.0,0,118.7845008390144
51,50.0,1,120.81179530238515
52,50.0,2,117.97113524878314
53,50.0,3,103.57783739803281
54,50.0,4,104.12357863208972
55,50.0,5,112.82825505494249
56,50.0,6,112.82825505494249
57,50.0,7,112.82825505494249
58,50.0,8,112.82825505494249
59,50.0,9,112.82825505494249
60,50.0,0,112.82825505494249
61,50.0,1,104.38035310140425
62,50.0,2,104.38035310140425
63,50.0,3,104.38035310140425
64,50.0,4,104.38035310140425
65,50.0,5,99.05309633405814
66,50.0,6,99.05309633405814
67,50.0,7,90.4608218781828
68,50.0,8,93.31113540911737
69,50.0,9,93.31113540911737
70,50.0,0,93.31113540911737
71,50.0,1,88.55688723102683
72,50.0,2,115.26911824313179
73,50.0,3,113.09377374191637
74,50.0,4,110.87564552160772
75,50.0,5,114.19104333724995
76,50.0,6,97.1995688452774
77,50.0,7,97.63925283719993
78,50.0,8,97.63925283719993
79,50.0,9,97.63925283719993
80,50.0,0,93.39436664193866
81,50.0,1,82.473629940259
82,50.0,2,83.82462254308527
83,50.0,3,83.82462254308527
84,50.0,4,88.40347225159559
85,50.0,5,88.40347225159559
86,50.0,6,88.40347225159559
87,50.0,7,88.40347225159559
88,50.0,8,87.03722147786507
89,50.0,9,89.80300970880249
90,50.0,0,89.19104264369166
91,50.0,1,90.86493223086372
92,50.0,2,103.314832137066
93,50.0,3,108.54031961751319
94,50.0,4,108.54031961751319
95,50.0,5,108.54031961751319
96,50.0,6,108.54031961751319
97,50.0,7,88.61366609908734
98,50.0,8,99.32007203828695
99,50.0,9,99.32007203828695
100,50.0,0,99.41029955931147
101,50.0,1,108.33499898853337
102,50.0,2,112.83635762223696
103,50.0,3,112.83635762223696
104,50.0,4,112.83635762223696
105,50.0,5,112.83635762223696
106,50.0,6,110.43279427849293
107,50.0,7,110.43279427849293
108,50.0,8,143.59008537187708
109,50.0,9,160.7212273603047
110,50.0,0,159.19060570342447
111,50.0,1,159.19060570342447
112,50.0,2,162.4735327789754
113,50.0,3,137.02060482641582
114,50.0,4,119.99825899579972
115,50.0,5,128.43207960195028
116,50.0,6,123.28067621906064
117,50.0,7,123.28067621906064
118,50.0,8,123.28067621906064
119,50.0,9,123.28067621906064
120,49.4959595959596,0,106.29029606017322
121,49.4959595959596,1,104.21899836003936
122,49.4959595959596,2,104.75122448611594
123,49.4959595959596,3,104.75122448611594
124,49.4959595959596,4,107.62814852250095
125,49.4959595959596,5,104.31794872236645
126,49.4959595959596,6,101.87599092305376
127,49.4959595959596,7,101.87599092305376
128,49.4959595959596,8,106.47734701531785
129,49.4959595959596,9,104.16333779628998
130,49.4959595959596,0,104.16333779628998
131,49.4959595959596,1,104.16333779628998
132,49.4959595959596,2,103.34029065567945
133,49.4959595959596,3,103.34029065567945
134,49.4959595959596,4,109.1509385910331
135,49.4959595959596,5,109.1509385910331
136,49.4959595959596,6,99.63348651907275
137,49.4959595959596,7,103.89974529698107
138,49.4959595959596,8,103.89974529698107
139,49.4959595959596,9,103.89974529698107
140,49.4959595959596,0,103.89974529698107
141,49.4959595959596,1,100.00573974214726
142,49.4959595959596,2,98.26119756176476
143,49.4959595959596,3,97.35615062422121
144,49.4959595959596,4,97.35615062422121
145,49.4959595959596,5,97.35615062422121
146,49.4959595959596,6,97.60734420001285
147,49.4959595959596,7,97.60734420001285
148,49.4959595959596,8,96.59276150783344
149,49.4959595959596,9,94.56406839969934
150,49.4959595959596,0,96.66501765202419
151,49.4959595959596,1,93.98152872066494
152,49.4959595959596,2,93.98152872066494
153,49.4959595959596,3,105.43314316933761
154,49.4959595959596,4,95.8561082809745
155,49.4959595959596,5,93.62810916159235
156,49.4959595959596,6,93.62810916159235
157,49.4959595959596,7,93.62810916159235
158,49.4959595959596,8,97.47896366924364
159,49.4959595959596,9,97.47896366924364
160,49.4959595959596,0,97.47896366924364
161,49.4959595959596,1,97.47896366924364
162,49.4959595959596,2,99.68955984585112
163,49.4959595959596,3,99.81802311792843
164,49.4959595959596,4,99.81802311792843
165,49.4959595959596,5,99.81802311792843
166,49.4959595959596,6,94.80826826667814
167,49.4959595959596,7,94.80826826667814
168,49.4959595959596,8,94.80826826667814
169,49.4959595959596,9,94.80826826667814
170,49.4959595959596,0,92.18871956875792
171,49.4959595959596,1,88.8057020571729
172,49.4959595959596,2,88.8057020571729
173,49.4959595959596,3,88.8057020571729
174,49.4959595959596,4,84.21547027178063
175,49.4959595959596,5,85.63443244308765
176,49.4959595959596,6,85.63443244308765
177,49.4959595959596,7,85.63443244308765
178,49.4959595959596,8,85.63443244308765
179,49.4959595959596,9,85.63443244308765
180,49.4959595959596,0,86.43810958749293
181,49.4959595959596,1,86.43810958749293
182,49.4959595959596,2,85.0482915364721
183,49.4959595959596,3,85.0482915364721
184,49.4959595959596,4,85.0482915364721
185,49.4959595959596,5,85.0482915364721
186,49.4959595959596,6,85.0482915364721
187,49.4959595959596,7,85.0482915364721
188,49.4959595959596,8,85.0482915364721
189,49.4959595959596,9,85.53702070653978
190,49.4959595959596,0,85.53702070653978
191,49.4959595959596,1,90.67839702980534
192,49.4959595959596,2,90.67839702980534
193,49.4959595959596,3,98.08503730776332
194,49.4959595959596,4,98.08503730776332
195,49.4959595959596,5,95.99086342919719
196,49.4959595959596,6,103.45927758271736
197,49.4959595959596,7,103.45927758271736
